model;price;km;location;year
Audi A3 1,4 TFSi 150 Ambiente Sportback S-tr. ;229.900 kr.;53.000;Østjylland;2016
Audi A1 1,4 TFSi 125 Sportback ;199.900 kr.;90.000;Syd- og Vestsjælland;2018
Audi A4 40 TFSi Advanced+ Avant S-tr. ;399.700 kr.;12.000;Syd- og Sønderjylland;2020
Audi S8 4,0 TFSi Plus quattro Tiptr. ;1.249.900 kr.;52.000;Østjylland;2017
Audi A4 1,8 TFSi 120 Avant ;149.995 kr.;155.000;Nordsjælland;2012
Audi R8 5,2 FSi Plus Coupé quattro S-tr. ;450.000 kr.;75.000;København;2013
Audi A3 1,4 TFSi 150 Sport Sportback ;234.700 kr.;32.000;Syd- og Sønderjylland;2017
Audi S3 2,0 TFSi quattro ;449.900 kr.;17.300;Syd- og Sønderjylland;2015
Audi A4 40 TFSi Sport Prestige Avant S-tr ;379.500 kr.;19.000;Syd- og Sønderjylland;2019
Audi Q5 2,0 TFSi 252 S-line quattro S-tr. ;689.900 kr.;38.000;Fyn;2017
Audi A3 1,4 TFSi 125 Ambition S-tr. ;214.900 kr.;95.000;Vestjylland;2016
Audi TTS 2,0 TFSi Coupé S-tr. ;219.500 kr.;193.000;Syd- og Sønderjylland;2008
Audi A3 1,4 TFSi 150 Sport S-tr. ;240.000 kr.;87.000;Syd- og Sønderjylland;2017
Audi A4 1,8 TFSi 120 Limited Avant Multitr ;249.900 kr.;58.000;Østjylland;2015
Audi A4 2,0 TFSi 190 Sport S-tr. ;319.900 kr.;47.000;Fyn;2018
Audi A5 2,0 TFSi 180 Cabriolet Multitr. ;219.980 kr.;147.000;Syd- og Vestsjælland;2009
Audi A4 2,0 TFSi 190 Sport Avant S-tr. ;324.900 kr.;76.000;Fyn;2017
Audi Q2 1,0 TFSi 116 ;215.000 kr.;44.000;Østjylland;2017
Audi TT 1,8 T 180 Coupé ;115.000 kr.;185.000;København;1998
Audi A3 1,0 TFSi 116 Sportback ;204.800 kr.;40.000;Østjylland;2018
Audi A5 1,8 TFSi 170 Sportback Multitr. ;259.800 kr.;102.000;Syd- og Vestsjælland;2016
Audi Q2 30 TFSi Sport S-tr. ;289.995 kr.;27.000;Østjylland;2019
Audi A4 1,8 TFSi 120 S-line Avant ;165.000 kr.;142.000;Østjylland;2015
Audi A3 1,8 TFSi 180 Ambiente Sportback S-tr. ;197.900 kr.;87.000;Syd- og Sønderjylland;2015
Audi A4 1,6 Avant ;17.900 kr.;330.000;Syd- og Vestsjælland;2005
Audi A4 40 TFSi Advanced Avant S-tr. ;379.900 kr.;6.000;Fyn;2019
Audi SQ5 3,0 TFSi quattro Tiptr. ;749.900 kr.;69.000;Nordjylland;2018
Audi A6 2,4 V6 ;55.900 kr.;206.000;Syd- og Vestsjælland;2005
Audi A7 2,0 TFSi 252 Sportback S-tr. ;399.895 kr.;150.000;Nordsjælland;2016
Audi S8 4,0 TFSi Plus quattro Tiptr. ;1.199.800 kr.;45.000;Østjylland;2016
Audi A7 1,8 TFSi 190 Sportback S-tr. ;499.895 kr.;32.000;København;2017
Audi A3 35 TFSi Sport Cabriolet ;350.000 kr.;19.000;Syd- og Sønderjylland;2019
Audi R8 5,2 FSi Spyder quattro R-tr. ;Ring;14.000;Østjylland;2010
Audi S6 4,0 TFSi Avant quattro S-tr. ;699.900 kr.;96.000;Syd- og Sønderjylland;2016
Audi Q2 35 TFSi Sport Prestige Select S-tr. ;349.000 kr.;15.000;Vestjylland;2020
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;359.800 kr.;68.000;Syd- og Vestsjælland;2017
Audi TT 2,0 TFSi 230 Coupé quattro S-tr. ;189.900 kr.;94.000;Syd- og Vestsjælland;2015
Audi A7 2,0 TFSi 252 Sportback S-tr. ;385.000 kr.;56.000;København;2016
Audi A3 1,4 TFSi 150 Ambition S-tr. ;199.900 kr.;106.000;Fyn;2015
Audi A3 1,4 TFSi 150 Sport ;234.900 kr.;69.000;Fyn;2017
Audi Q3 35 TFSi Advanced S-tr. ;369.900 kr.;14.000;Syd- og Vestsjælland;2020
Audi S5 3,0 TFSi Cabriolet quattro S-tr. ;498.800 kr.;102.000;Syd- og Vestsjælland;2014
Audi A3 1,4 TFSi 150 Ambiente Cabriolet ;240.000 kr.;82.000;København;2016
Audi A3 1,0 TFSi 116 Sportback ;209.900 kr.;43.000;Nordsjælland;2018
Audi S6 5,2 FSi Avant quattro Tiptr. ;161.000 kr.;199.000;København;2007
Audi A3 1,0 TFSi 116 S-tr. ;239.880 kr.;34.000;Østjylland;2018
Audi A1 1,0 TFSi 95 Ultra Sportback ;144.900 kr.;89.000;Østjylland;2016
Audi R8 5,2 FSi Spyder quattro S-tr. ;4.150 kr.;49.000;Syd- og Sønderjylland;2014
Audi A3 1,4 TFSi Attraction Sportback ;75.000 kr.;172.000;Syd- og Vestsjælland;2009
