model;type;price;km;location;year;link
Audi A3;1,4 e-tron S-line Sportback S-tr.;277800;28.000;Ribe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1779544
Audi A3;1,4 e-tron Sport Sportback S-tr.;259900;27.000;Hedensted;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1646540
Audi A3;1,4 e-tron Sportback S-tr.;249000;65.000;Aarhus;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1650842
Audi A3;1,4 e-tron Sport Sportback S-tr.;274900;27.000;Grindsted;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1757783
Audi A3;1,4 e-tron S-line Sportback S-tr.;284900;35.000;Hillerød;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1776527
Audi A3;1,4 e-tron Sport Sportback S-tr.;259800;13.000;Ribe;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1779563
Audi A3;Sportback 1,4 E-tron Plugin-hybrid Sport S Tronic 204HK 5d 6g Aut.;249700;23.000;Løgumkloster;2018;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron--plugin-hybrid-sport-s-tronic-204hk-5d-6g-aut/1751214
Audi Q7;3,0 TDi e-tron quattro Tiptr.;319000;79.000;Albertslund;2016;https://www.biltorvet.dk/bil/audi/q7/3-0-tdi-e-tron-quattro-tiptr/1614878
Audi A3;40 TFSi e Sportback S-tr.;319900;10.000;Esbjerg;2020;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-sportback-s-tr/1769387
Audi A3;1,4 e-tron Design Sportback aut.;269900;28.000;Odense;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-design-sportback-aut/1778560
Audi A3;1,4 e-tron Sportback S-tr.;229900;24.000;Varde;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1671884
Audi A3;1,4 e-tron Ambition Sportback S-tr.;199800;118.000;Roskilde;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambition-sportback-s-tr/1680365
Audi A3;1,4 e-tron Sportback S-tr.;214900;35.000;Fredericia;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1690469
Audi A3;1,4 e-tron Ambiente Sportback S-tr.;203900;112.000;Roskilde;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambiente-sportback-s-tr/1704904
Audi A3;1,4 e-tron Sportback S-tr.;219800;100.000;Næstved;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1717096
Audi A3;1,4 e-tron Sportback S-tr.;204800;94.000;Næstved;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1753900
Audi A3;1,4 e-tron S-line Sportback S-tr.;284900;33.000;Grindsted;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1757739
Audi A3;1,4 e-tron Sport Sportback S-tr.;269900;30.000;Grindsted;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1757784
Audi A3;1,4 e-tron Ambition Sportback S-tr.;204900;112.000;Roskilde;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambition-sportback-s-tr/1757902
Audi A3;1,4 e-tron Sportback S-tr.;299900;16.000;Varde;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1762671
Audi A3;1,4 e-tron Sport Sportback S-tr.;269900;61.000;Varde;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1770882
Audi A3;1,4 e-tron Sportback S-tr.;269900;24.000;Varde;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1771449
Audi A3;1,4 e-tron Sportback S-tr.;204900;49.000;Åbyhøj;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1773159
Audi A3;1,4 e-tron Sportback S-tr.;209900;41.000;Viborg;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1773201
Audi A3;1,4 e-tron Sport Sportback S-tr.;249000;36.000;Fårevejle;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1775654
Audi A6;Avant 3,0 45 TDI S-Line Quattro Tiptronic 231HK Stc;674900;37.000;Kolding;2018;https://www.biltorvet.dk/bil/audi/a6/avant-3-0-45-tdi-s-line-quattro-tiptronic-231hk-stc/1775888
Audi A3;1,4 e-tron Sport Sportback S-tr.;229999;41.000;Taastrup;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1777923
Audi A3;Sportback 1,4 E-tron Plugin-hybrid Sport S Tronic 204HK 5d 6g Aut.;229800;25.000;Svenstrup;2017;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron--plugin-hybrid-sport-s-tronic-204hk-5d-6g-aut/1772135
